index,name,type,inner invocations,external invocations,calls,visits,length,lines,modifier,annotation,full text,removed
1,view,Field,"Transformer(View,View)",,,,24,1,18,,private final View view;,False
2,parent,Field,"Transformer(View,View)",,,,26,1,18,,private final View parent;,False
3,viewHeight,Field,setViewHeight(float),,,,25,1,2,,private float viewHeight;,False
4,xScaleFactor,Field,setXScaleFactor(float),,,,27,1,2,,private float xScaleFactor;,False
5,yScaleFactor,Field,setyScaleFactor(float),,,,27,1,2,,private float yScaleFactor;,False
6,marginRight,Field,setMarginRight(float),,,,26,1,2,,private float marginRight;,False
7,marginBottom,Field,setMarginBottom(float),,,,27,1,2,,private float marginBottom;,False
8,lastTopPosition,Field,setLastTopPosition(int),,,,28,1,2,,private int lastTopPosition;,False
9,lastLeftPosition,Field,setLastLeftPosition(int),,,,29,1,2,,private int lastLeftPosition;,False
10,lastRightPosition,Field,setLastRightPosition(int),,,,30,1,2,,private int lastRightPosition;,False
11,originalHeight,Field,,,,,29,1,2,,private float originalHeight;,False
12,originalWidth,Field,,,,,28,1,2,,private float originalWidth;,False
13,"Transformer(View,View)",Method,,,,com.github.pedrovgs.transformer.Transformer+view com.github.pedrovgs.transformer.Transformer+view com.github.pedrovgs.transformer.Transformer+parent com.github.pedrovgs.transformer.Transformer+parent,105,4,1,,"public Transformer(View view,View parent) {
        this.view = view;
        this.parent = parent;
    }",False
14,setXScaleFactor(float),Method,,com.github.pedrovgs.DraggableView+setXTopViewScaleFactor(float) com.github.pedrovgs.DraggableView+initializeTransformer(TypedArray),,com.github.pedrovgs.transformer.Transformer+xScaleFactor com.github.pedrovgs.transformer.Transformer+xScaleFactor,97,3,1,,"public void setXScaleFactor(float xScaleFactor) {
        this.xScaleFactor = xScaleFactor;
    }",False
